1.0,16.4057,0.0
2.0,16.4687,0.5687
3.0,16.4977,0.6064
4.0,16.4749,0.6134
5.0,16.432,0.6776
6.0,16.0663,0.6623
7.0,16.1309,0.628
8.0,16.2094,0.7106
9.0,16.4454,0.7343
10.0,16.3417,0.7815
11.0,16.3762,0.8068
12.0,17.247,0.754
13.0,16.8956,0.7826
14.0,16.9796,0.7752
15.0,16.4462,0.8
16.0,16.4621,0.724
17.0,16.8851,0.7807
18.0,16.5331,0.7646
19.0,16.1971,0.832
20.0,16.6227,0.8551
21.0,16.6029,0.8334
22.0,16.5485,0.7923
23.0,16.7404,0.7829
24.0,17.225,0.7961
25.0,16.2492,0.7586
26.0,16.2458,0.7631
27.0,16.1003,0.7604
28.0,16.1139,0.7607
29.0,16.57,0.7406
30.0,16.6727,0.7854
31.0,16.4119,0.7822
32.0,16.2236,0.7774
33.0,16.5593,0.7577
34.0,15.9748,0.8462
35.0,16.0605,0.9183
36.0,16.2902,0.896
37.0,16.3337,0.8653
38.0,16.4691,0.8515
39.0,16.0933,0.8078
40.0,16.0734,0.8521
41.0,16.0102,0.8816
42.0,16.0799,0.9088
43.0,16.437,0.8612
44.0,16.4233,0.8569
45.0,16.257,0.8209
46.0,16.2528,0.8279
47.0,16.3087,0.8073
48.0,16.4884,0.8835
49.0,16.2767,0.8654
50.0,16.4994,0.8809
51.0,16.5351,0.8878
52.0,16.2791,0.8786
53.0,16.4787,0.8672
54.0,16.6842,0.8953
55.0,16.3667,0.8213
56.0,16.89,0.874
57.0,15.848,0.8916
58.0,16.1055,0.9066
59.0,16.6688,0.9035
60.0,16.2994,0.8872
61.0,15.5728,1.003
62.0,16.4001,0.9698
63.0,16.1566,0.9259
64.0,15.9509,0.936
65.0,15.944,0.959
66.0,16.0885,0.873
67.0,15.6698,0.948
68.0,16.5432,0.9347
69.0,16.3092,1.0086
70.0,16.6896,0.9837
71.0,16.3623,0.9765
72.0,15.6967,0.8881
73.0,16.1794,0.9017
74.0,15.6012,0.8918
75.0,16.4352,0.9288
76.0,16.3641,0.8855
77.0,16.5029,0.8835
78.0,16.5793,0.8208
79.0,16.6466,0.8626
80.0,16.221,0.902
81.0,16.8407,0.933
